	IMR90_iCherry	IMR90_iCherry	IMR90_iCherry	IMR90_iRAS	IMR90_iRAS	IMR90_iRAS
7892778	6.97117	6.97674	7.20124	6.87187	6.59409	6.73864
7892779	2.45338	2.1787	2.08847	2.0852	2.29876	2.26262
7892780	3.43833	3.07963	3.35568	3.27289	3.50311	3.85711
7892781	3.3831	2.90266	3.50389	3.10418	3.67615	2.7642
7892782	9.56503	9.56909	9.3466	9.52507	9.58942	9.58715
7892783	7.55333	7.38352	7.54385	7.4692	7.43263	7.35776
7892784	2.17126	2.04778	1.92425	2.45408	2.29249	2.40077
7892785	2.0656	1.90907	1.96452	2.27337	2.09684	2.45993
7892786	7.0205	7.07739	6.67164	7.02792	7.17383	7.19589
7892787	2.07821	2.86764	1.93545	2.5525	2.68165	2.19878
7892788	7.94264	7.69165	7.90969	7.7624	7.73336	7.84911
7892789	3.21938	3.07511	2.59176	2.68663	3.04924	2.9719
7892790	2.8113	2.50849	2.26875	2.22603	3.27921	2.49169
7892791	9.30174	9.36514	9.49618	9.45582	9.26331	9.1273
7892792	3.70474	4.09641	4.05664	3.64889	3.98	3.55438
7892793	2.82613	2.42681	2.57995	2.53383	2.98841	2.72864
7892794	2.76295	2.78989	2.63756	2.40683	2.64516	2.72176
7892795	4.03009	3.61559	3.95651	4.0291	3.71417	4.31717
7892796	10.7399	10.7222	10.4466	10.5296	10.9198	10.5369
7892797	5.24961	4.61271	6.27919	5.46747	5.19221	5.8467
7892798	2.65986	2.70043	2.2912	2.65832	3.03822	2.7602
7892799	2.64678	2.18275	2.10048	2.00272	2.42176	2.54867
7892800	2.34527	2.23165	2.29439	2.52854	2.49706	2.29386
7892801	2.64065	2.25257	2.35823	1.99913	2.2056	2.06271
7892802	7.38781	7.39874	7.2658	7.08967	7.31535	6.94998
7892803	10.6567	10.685	10.7131	10.6357	10.4589	10.5055
7892804	2.21448	3.28277	2.48344	2.40201	2.24203	2.26168
7892805	2.02379	2.20325	2.09857	2.09648	2.00692	2.04147
7892806	2.33317	2.04672	1.76246	1.96499	2.1328	2.08067
7892807	2.61369	2.52993	2.82429	3.2785	3.32937	2.71818
7892808	5.75734	6.29121	6.73451	7.00495	6.7412	6.89258
7892809	2.10606	2.04006	2.10094	2.05997	2.15778	2.02045
7892810	2.29373	2.58686	3.01735	2.95442	2.31815	3.10597
7892811	2.57285	3.78578	2.43876	2.60152	2.48158	2.49971
7892812	2.65207	2.58802	2.89323	3.03836	2.83907	2.67745
7892813	2.2142	2.02702	2.15969	2.04229	2.38514	1.99844
7892814	8.70639	8.7374	8.83304	8.80131	8.66143	8.7643
7892815	2.14341	2.16266	2.07284	2.08837	2.18722	2.09591
7892816	7.30218	7.13014	7.25958	7.21222	7.45859	6.64807
7892817	11.1259	11.1084	11.0752	11.0228	10.9499	10.9077
7892818	2.16966	2.24412	1.77179	1.87352	1.96768	1.90016
7892819	4.05777	5.82199	2.82424	4.36371	5.85652	2.32427
7892820	9.77127	9.78255	9.84906	9.73867	9.69464	9.48552
7892821	2.38588	2.73208	2.36293	1.97336	2.07853	1.93467
7892822	2.43184	2.28249	2.46843	2.48879	2.63521	2.23164
7892823	4.15723	3.5345	4.29307	3.79774	3.38181	3.71321
7892824	5.38633	4.79187	5.2915	5.1079	5.22847	5.07942
7892825	2.27861	2.4878	2.38801	2.43591	2.41672	2.55811
7892826	3.8014	3.77747	3.91772	3.95809	3.66426	3.34395
7892827	10.4133	10.3005	10.2261	10.2024	10.468	10.2453
7892828	2.92732	2.83584	2.4	2.4417	2.44431	2.78393
7892829	9.65507	9.66226	9.80465	9.79592	9.71061	9.75527
7892830	8.90071	9.09174	9.06186	9.19992	9.1618	9.28571
7892831	8.58269	8.45223	8.30835	8.18163	8.31857	8.01189
7892832	6.39325	5.95777	6.31565	6.38345	6.21018	6.71333
7892833	2.79542	2.35662	2.03716	2.036	2.99543	2.29716
7892834	2.70177	2.29362	2.16574	1.99761	2.46858	2.32474
7892835	9.49788	9.71681	9.82893	9.48641	9.56174	9.56269
7892836	10.5159	10.4649	10.4891	10.0834	10.1966	10.1184
7892837	8.90268	9.1526	9.08913	8.94538	8.43216	8.78076
7892838	7.12808	6.90416	7.14442	7.3325	7.64344	7.05689
7892839	2.02691	2.09092	1.71524	2.03471	2.03237	2.11507
7892840	2.28586	2.54607	2.69583	2.60184	2.24751	2.42137
7892841	7.58033	7.65209	7.51422	7.73451	7.72734	7.8105
7892842	2.31271	2.24087	2.0726	2.05698	2.21024	2.19432
7892843	2.283	2.62747	2.16248	2.4212	2.55554	1.96668
7892844	2.35163	2.12455	2.01241	1.77396	2.02567	1.88237
7892845	3.83837	3.76372	3.79812	3.93003	3.63311	4.43881
7892846	10.3785	10.3606	10.5135	10.3108	10.2752	10.4498
7892847	6.37332	6.47902	6.97857	6.91309	7.0517	6.86171
7892848	6.60269	6.76429	6.37411	7.30937	7.212	7.16811
7892849	2.18993	2.4776	2.28802	2.53125	3.41341	2.89319
7892850	2.74354	2.55059	2.2206	2.0427	2.29958	2.09133
7892851	3.13172	3.74525	2.67784	3.0719	2.69337	3.76368
7892852	2.80446	2.60324	2.89154	2.79536	2.78337	2.87295
7892853	9.93201	9.96267	9.8498	9.77156	9.88399	9.63916
7892854	2.25965	1.60234	1.92214	1.96796	2.58727	2.21093
7892855	2.99866	3.23022	2.65494	2.83268	2.98426	2.06597
7892856	1.93109	2.71815	1.95006	2.45787	2.11129	2.43812
7892857	8.73128	8.81491	8.86139	8.94036	8.74118	8.81898
7892858	1.82552	2.4733	1.84312	1.86553	1.71798	1.92629
7892859	2.55575	3.54312	2.53662	3.10282	2.67904	2.92811
7892860	3.20725	2.85511	3.30945	3.28935	3.4658	3.01665
7892861	8.26894	8.31301	7.75808	7.78976	8.28842	8.09347
7892862	8.91637	9.38043	9.14838	9.51149	9.16835	9.13386
7892863	5.2323	5.33591	5.02611	4.64465	5.60919	4.90139
7892864	1.91201	2.0036	1.83072	1.85368	1.9884	1.71389
7892865	8.37475	8.3173	8.2595	8.35312	8.42846	8.33348
7892866	2.02659	1.9132	1.76313	2.02648	2.16122	1.94486
7892867	2.29188	2.46491	2.23356	2.33384	2.00792	2.35797
7892868	10.6809	10.6957	10.7234	10.6379	10.5901	10.5522
7892869	5.34242	4.82732	4.99838	4.4534	5.13729	4.38219
7892870	5.76451	5.6466	6.54782	5.93884	5.38598	5.16866
7892871	2.9645	3.80084	2.24854	3.17999	2.69081	3.06913
7892872	2.87618	3.298	3.16022	3.61276	2.86212	3.51062
7892873	2.41431	2.28501	2.13979	1.94681	1.97597	1.88813
7892874	2.67895	2.97688	2.62038	2.65309	2.31316	2.90634
7892875	4.7362	4.15714	4.57013	3.80953	4.22443	3.45519
7892876	2.7305	2.97437	2.70568	2.71932	2.5662	2.39111
7892877	2.52324	2.20014	2.13433	2.55521	2.60362	2.75217
7892878	2.55179	2.41864	2.49968	2.69883	2.70188	2.4391
7892879	1.82305	1.99677	1.8272	2.1879	2.39586	1.99735
7892880	8.93992	8.86443	8.83174	8.88958	8.78823	8.95655
7892881	2.2496	2.18087	1.8409	1.95662	2.05336	1.84136
7892882	8.89611	9.2103	9.03503	8.85372	9.03481	8.78752
7892883	2.4449	2.35079	2.6482	2.88307	2.5353	2.84486
7892884	8.78438	8.76029	8.8725	8.47028	8.3858	8.52493
7892885	2.51302	2.20953	2.19206	2.55861	2.32564	2.32764
7892886	2.43332	2.26474	2.33132	2.43569	2.3437	2.94219
7892887	2.93471	2.45853	2.38591	3.06168	3.29834	2.61714
7892888	2.16083	2.45055	2.23312	2.8549	2.96103	2.03863
7892889	9.85234	9.84513	9.71011	9.7534	9.83631	9.66545
7892890	9.2315	9.22685	9.25797	9.04224	8.98125	9.10865
7892891	10.1422	10.0169	10.1888	10.0886	10.1911	9.89421
7892892	2.29233	2.1665	2.23833	2.33459	2.74195	2.05302
7892893	6.10659	5.57998	6.256	6.26693	5.56494	6.12475
7892894	8.581	8.6244	8.56905	8.92065	8.97869	8.96832
7892895	2.99986	2.46848	2.69532	2.71871	2.43541	3.19588
7892896	8.07232	8.27945	8.27059	8.37702	8.27152	8.37183
7892897	4.77946	2.52621	3.18975	3.36384	4.54757	4.16968
7892898	5.16361	5.49623	5.45954	5.46513	4.84999	5.44493
7892899	9.29322	9.22265	9.29247	9.08659	9.11794	8.96783
7892900	10.333	10.4452	10.4569	10.3237	10.3228	10.2092
7892901	9.50878	9.36963	9.55452	9.41177	9.12647	9.12087
7892902	9.7778	9.90717	9.97887	10.0097	10.0308	10.0114
7892903	4.10741	4.96928	5.2761	5.28993	3.93655	4.07701
7892904	2.64245	2.27139	2.2767	2.37473	2.57292	2.45831
7892905	2.50748	2.28924	2.29916	2.26307	2.63077	2.04876
7892906	10.63	10.6585	10.7326	10.8329	10.6261	10.6313
7892907	10.2391	10.265	10.1284	10.0896	10.0472	10.1198
7892908	2.98943	2.4825	2.7494	3.30227	2.3778	3.59442
